n,max_levels,k, cpu_ms, cublas_kernel_ms, cublas_total_ms, gpu_kernel_ms, gpu_total_ms, ops_cublas, ops_gpu, gflops_cublas, gflops_gpu, relerr_cublas, relerr_custom
512,4,14,0.257696,0.037120,29.594875,0.101260,1.266177,524288,147456,14.240425,1.462783,0.000000424,0.000000439
512,4,16,0.258327,0.035712,30.055812,0.098684,1.216503,524288,163840,14.757312,1.672529,0.000000434,0.000000458
512,4,18,0.261503,0.036992,31.352837,0.100856,1.288575,524288,180224,14.268425,1.790386,0.000000426,0.000000438
512,6,6,0.277850,0.037508,31.629575,0.145024,3.286656,524288,81920,14.081500,0.571800,0.000000407,0.000000426
512,6,8,0.268855,0.038020,32.608525,0.141048,3.115137,524288,106496,14.092525,0.766747,0.000000422,0.000000437
512,6,10,0.249490,0.036984,30.835975,0.146824,3.361407,524288,131072,14.264150,0.897906,0.000000402,0.000000418
512,6,12,0.252329,0.035584,30.118400,0.140792,3.163649,524288,155648,14.839250,1.119183,0.000000394,0.000000408
512,6,14,0.264631,0.037504,31.527287,0.146684,3.462654,524288,180224,14.141275,1.238761,0.000000400,0.000000409
512,6,16,0.265895,0.036352,29.882513,0.118660,1.861631,524288,180224,14.513025,1.529196,0.000000422,0.000000432
512,6,18,0.254028,0.038784,30.447650,0.116608,2.001408,524288,200704,13.666725,1.726033,0.000000400,0.000000415
512,8,6,0.269035,0.035712,31.400700,0.160380,5.826689,524288,90112,14.722425,0.563875,0.000000427,0.000000432
512,8,8,0.230285,0.035840,28.117125,0.137732,2.929284,524288,106496,14.646525,0.776034,0.000000425,0.000000429
512,8,10,0.249635,0.036224,30.010237,0.141568,3.256190,524288,131072,14.567000,0.930148,0.000000423,0.000000431
512,8,12,0.292905,0.038016,32.739575,0.144136,3.157249,524288,155648,13.955663,1.097372,0.000000418,0.000000421
512,8,14,0.274178,0.037244,30.724988,0.146940,3.318399,524288,180224,14.176200,1.240501,0.000000413,0.000000427
512,8,16,0.233921,0.035712,28.259837,0.116100,1.771650,524288,180224,14.802150,1.555615,0.000000415,0.000000433
512,8,18,0.282739,0.036480,30.519175,0.120060,2.006656,524288,200704,14.446338,1.679654,0.000000426,0.000000439
512,10,6,0.278461,0.037632,32.346362,0.160760,6.019202,524288,90112,14.030012,0.563066,0.000000421,0.000000435
512,10,8,0.240195,0.034944,28.904338,0.135556,2.930302,524288,106496,15.020275,0.786755,0.000000414,0.000000423
512,10,10,0.249506,0.037376,30.625138,0.142720,3.341442,524288,131072,14.120513,0.922131,0.000000406,0.000000416
512,10,12,0.273666,0.037504,32.559750,0.144256,3.202945,524288,155648,14.135087,1.087457,0.000000411,0.000000425
512,10,14,0.250541,0.034944,29.559825,0.139780,3.256705,524288,180224,15.014850,1.292616,0.000000398,0.000000411
512,10,16,0.292938,0.038272,32.860275,0.120704,1.859586,524288,180224,13.797337,1.499015,0.000000413,0.000000425
512,10,18,0.261922,0.034432,28.946800,0.116092,1.914751,524288,200704,15.236775,1.731055,0.000000417,0.000000433
512,12,6,0.249564,0.036352,29.960712,0.163068,5.894658,524288,90112,14.506775,0.554119,0.000000413,0.000000419
512,12,8,0.280280,0.036096,31.894150,0.135808,2.909823,524288,106496,14.595450,0.788123,0.000000408,0.000000423
512,12,10,0.262831,0.037376,31.407863,0.146308,3.300096,524288,131072,14.164912,0.907051,0.000000409,0.000000416
512,12,12,0.252213,0.038016,29.928575,0.137088,2.951040,524288,155648,14.078825,1.141727,0.000000439,0.000000451
512,12,14,0.270771,0.035716,30.937725,0.134008,3.151108,524288,180224,14.711887,1.345770,0.000000433,0.000000439
512,12,16,0.244737,0.035972,29.259412,0.119672,1.847552,524288,180224,14.631425,1.516468,0.000000428,0.000000445
512,12,18,0.254050,0.035584,29.727625,0.121984,2.003201,524288,200704,14.786275,1.653306,0.000000427,0.000000446
1024,2,6,1.098773,0.026880,22.341887,0.059392,0.929408,2097152,573440,81.158125,9.681881,0.000000550,0.000000544
1024,2,8,0.983700,0.023940,20.841338,0.058244,0.923008,2097152,589824,87.716337,10.148041,0.000000594,0.000000589
1024,2,10,1.111737,0.024576,22.471925,0.062208,0.962180,2097152,606208,85.370413,9.753534,0.000000590,0.000000584
1024,2,12,0.993307,0.024192,20.930438,0.060028,0.952063,2097152,622592,86.841000,10.393234,0.000000596,0.000000590
1024,2,14,1.201976,0.026364,24.301313,0.065796,1.069311,2097152,638976,79.863563,9.785193,0.000000585,0.000000586
1024,2,16,1.074402,0.025980,22.795025,0.062464,1.057280,2097152,655360,81.685275,10.550232,0.000000575,0.000000574
1024,2,18,1.031117,0.024576,22.440188,0.065156,1.087871,2097152,671744,85.477450,10.401827,0.000000613,0.000000615
1024,4,6,0.953276,0.024064,20.598150,0.096896,1.163136,2097152,229376,87.230550,2.377530,0.000000605,0.000000602
1024,4,8,1.007900,0.025092,21.714325,0.101376,1.267584,2097152,262144,83.901438,2.624833,0.000000614,0.000000607
1024,4,10,1.032971,0.025216,22.639862,0.100348,1.294980,2097152,294912,83.401837,2.968872,0.000000620,0.000000618
1024,4,12,0.961466,0.024576,20.729850,0.096256,1.263616,2097152,327680,85.407525,3.417190,0.000000572,0.000000571
1024,4,14,1.031541,0.023940,20.832625,0.097404,1.229953,2097152,360448,87.637075,3.706205,0.000000578,0.000000577
1024,4,16,1.159760,0.025216,23.478275,0.104056,1.350018,2097152,393216,83.526988,3.807166,0.000000597,0.000000600
1024,4,18,1.032431,0.024320,21.997300,0.103548,1.357698,2097152,425984,86.367887,4.130888,0.000000600,0.000000603
1024,6,6,1.032135,0.024320,21.353337,0.136444,3.101314,2097152,180224,86.493600,1.332746,0.000000584,0.000000583
1024,6,8,1.033691,0.024448,21.431550,0.133880,3.052415,2097152,229376,85.904112,1.719693,0.000000612,0.000000613
1024,6,10,1.032603,0.024960,22.316813,0.143748,3.362049,2097152,278528,84.329387,1.953221,0.000000577,0.000000577
1024,6,12,1.071211,0.024580,22.043000,0.134648,3.144192,2097152,327680,85.649500,2.434416,0.000000584,0.000000584
1024,6,14,1.033248,0.024320,21.773450,0.137600,3.394308,2097152,376832,86.335075,2.745370,0.000000577,0.000000586
1024,6,16,1.072813,0.024320,21.321088,0.137988,3.114239,2097152,425984,86.526413,3.100713,0.000000589,0.000000595
1024,6,18,0.993565,0.025856,21.464188,0.150912,3.409920,2097152,475136,81.776638,3.162214,0.000000601,0.000000607
1024,8,6,1.074324,0.025216,22.752112,0.175632,11.264900,2097152,204800,83.613025,1.168762,0.000000570,0.000000572
1024,8,8,1.112699,0.024320,22.482550,0.155640,5.834112,2097152,245760,86.737600,1.593794,0.000000589,0.000000595
1024,8,10,0.991611,0.024576,21.260425,0.160896,5.940991,2097152,303104,85.519600,1.889128,0.000000600,0.000000601
1024,8,12,1.034100,0.024704,21.729012,0.157052,5.938304,2097152,360448,85.055825,2.298629,0.000000605,0.000000607
1024,8,14,1.036620,0.024320,20.817162,0.157056,6.051708,2097152,417792,86.297962,2.666424,0.000000582,0.000000584
1024,8,16,1.033463,0.024956,22.161400,0.135300,3.127291,2097152,425984,84.656937,3.162994,0.000000581,0.000000592
1024,8,18,1.032913,0.024836,22.024825,0.147324,3.611648,2097152,475136,84.764488,3.244984,0.000000577,0.000000584
1024,10,6,0.995642,0.024196,21.458175,0.173176,11.198837,2097152,204800,86.747875,1.184170,0.000000589,0.000000585
1024,10,8,1.069840,0.025344,22.044313,0.163580,5.832320,2097152,245760,82.988137,1.507741,0.000000595,0.000000595
1024,10,10,1.115842,0.025724,23.231488,0.167296,6.323455,2097152,303104,81.735550,1.820960,0.000000594,0.000000594
1024,10,12,0.963491,0.024704,20.613750,0.167808,5.919615,2097152,360448,84.906638,2.153103,0.000000564,0.000000569
1024,10,14,1.030255,0.024828,21.655162,0.163696,6.201478,2097152,417792,84.599825,2.561835,0.000000595,0.000000596
1024,10,16,1.082948,0.024704,22.714613,0.141056,3.265662,2097152,425984,85.387125,3.055756,0.000000589,0.000000587
1024,10,18,0.995705,0.024828,21.780475,0.144640,3.485568,2097152,475136,84.625812,3.297318,0.000000587,0.000000587
1024,12,6,1.117706,0.024200,21.691400,0.177020,11.471987,2097152,204800,86.777237,1.162919,0.000000624,0.000000624
1024,12,8,1.036779,0.024704,21.931400,0.155892,5.662720,2097152,245760,85.304125,1.582563,0.000000611,0.000000615
1024,12,10,1.005440,0.024456,21.157487,0.159868,6.105600,2097152,303104,85.974262,1.912010,0.000000587,0.000000586
1024,12,12,1.197665,0.026372,24.513275,0.165120,6.115329,2097152,360448,79.801913,2.193964,0.000000610,0.000000610
1024,12,14,1.081851,0.025080,22.875788,0.159356,6.202236,2097152,417792,83.865475,2.631066,0.000000602,0.000000601
1024,12,16,0.990687,0.024832,21.584250,0.141188,3.181191,2097152,425984,84.649012,3.029046,0.000000599,0.000000601
1024,12,18,1.033783,0.025088,22.195062,0.147708,3.401596,2097152,475136,83.758625,3.245575,0.000000591,0.000000597
2048,2,6,4.246336,0.062844,24.915063,0.064896,1.570686,8388608,2195456,133.705375,34.135550,0.000000807,0.000000791
2048,2,8,4.063185,0.061824,25.182838,0.063728,1.576193,8388608,2228224,136.139500,35.118012,0.000000861,0.000000842
2048,2,10,4.082442,0.061440,24.081512,0.064260,1.615875,8388608,2260992,136.598125,35.331513,0.000000843,0.000000834
2048,2,12,4.133471,0.060672,24.505087,0.063104,1.697411,8388608,2293760,138.307500,36.437725,0.000000882,0.000000874
2048,2,14,4.179321,0.061184,24.534025,0.064764,1.781631,8388608,2326528,137.293000,35.963887,0.000000844,0.000000832
2048,2,16,4.075911,0.059772,23.828862,0.061956,1.794431,8388608,2359296,140.495625,38.109138,0.000000831,0.000000823
2048,2,18,4.072039,0.061312,24.683525,0.064004,1.921664,8388608,2392064,137.198500,37.578787,0.000000859,0.000000848
2048,4,6,4.059827,0.061696,23.760650,0.100104,1.383422,8388608,720896,136.255750,7.280303,0.000000862,0.000000848
2048,4,8,4.089286,0.061568,23.302537,0.095996,1.424641,8388608,786432,136.423625,8.201108,0.000000849,0.000000839
