n,max_levels,k, cpu_ms, cublas_kernel_ms, cublas_total_ms, gpu_kernel_ms, gpu_total_ms, ops_cublas, ops_gpu, gflops_cublas, gflops_gpu, relerr_cublas, relerr_custom
256,10,12,0.059930,12.658800,30.437887,4.000640,5.957436,131072,65536,0.010468,0.016634,0.000000302,0.000000327
256,10,14,0.059956,12.327025,29.718650,3.868805,5.814183,131072,75776,0.010709,0.019707,0.000000267,0.000000287
256,10,16,0.068827,12.126200,31.527925,3.771400,4.859300,131072,73728,0.010826,0.019564,0.000000288,0.000000310
256,10,18,0.064241,12.992100,31.693825,4.087551,5.357124,131072,81920,0.010248,0.020363,0.000000286,0.000000311
256,12,6,0.062151,12.631925,30.657663,4.063359,7.376109,131072,38912,0.010515,0.009675,0.000000298,0.000000311
256,12,8,0.057688,12.598150,29.983238,3.892997,5.741053,131072,45056,0.010554,0.011631,0.000000308,0.000000313
256,12,10,0.057700,12.502413,29.881750,3.969150,5.942938,131072,55296,0.010630,0.014133,0.000000289,0.000000301
256,12,12,0.059950,12.611062,30.234225,3.975171,5.936375,131072,65536,0.010528,0.016695,0.000000300,0.000000311
256,12,14,0.059970,12.539513,30.124938,4.007417,5.987329,131072,75776,0.010587,0.019123,0.000000269,0.000000289
256,12,16,0.059937,12.560900,30.416900,3.946491,5.065040,131072,73728,0.010559,0.018900,0.000000299,0.000000316
256,12,18,0.060808,13.413875,31.975438,4.221188,5.511131,131072,81920,0.009930,0.019755,0.000000315,0.000000338
512,2,6,0.253669,11.673475,28.361750,3.594240,4.152844,524288,155648,0.044933,0.043370,0.000000416,0.000000418
512,2,8,0.271431,11.916412,30.349187,3.602305,4.177999,524288,163840,0.044016,0.045530,0.000000394,0.000000399
512,2,10,0.254950,12.027400,29.025150,3.690115,4.281999,524288,172032,0.043886,0.046995,0.000000460,0.000000475
512,2,12,0.272301,12.130187,30.071550,3.647365,4.244676,524288,180224,0.043379,0.049485,0.000000404,0.000000413
512,2,14,0.245641,11.697387,28.442113,3.573249,4.168321,524288,188416,0.044840,0.052757,0.000000419,0.000000433
512,2,16,0.249397,12.096887,29.555712,3.658759,4.292892,524288,196608,0.043669,0.054121,0.000000432,0.000000441
512,2,18,0.258075,12.347262,30.158462,3.694336,4.322971,524288,204800,0.042804,0.055768,0.000000432,0.000000442
512,4,6,0.259111,12.496125,30.376850,3.672325,4.816372,524288,81920,0.042355,0.022382,0.000000412,0.000000416
512,4,8,0.259460,12.008325,29.808400,3.691005,4.773595,524288,98304,0.043787,0.026657,0.000000406,0.000000408
512,4,10,0.282207,12.780688,31.181175,3.861244,5.105571,524288,114688,0.041438,0.030059,0.000000428,0.000000433
